"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier"
"29518-30447","RB","Todd","Todd Gurley II","Gurley II","28.075000762939453","8","11200","LAR@NO","LAR","NO","","","","",""
"29518-57439","QB","Patrick","Patrick Mahomes","Mahomes","27.86750030517578","8","9500","KC@CLE","KC","CLE","","","","",""
"29518-39716","WR","Adam","Adam Thielen","Thielen","20.625","8","8900","DET@MIN","MIN","DET","","","","",""
"29518-11612","WR","Antonio","Antonio Brown","Brown","18.028570992606028","7","8800","PIT@BAL","PIT","BAL","","","","",""
"29518-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","17.337499618530273","8","8600","HOU@DEN","HOU","DEN","","","","",""
"29518-28900","RB","Melvin","Melvin Gordon III","Gordon III","24.583333333333332","6","8600","LAC@SEA","LAC","SEA","Q","Hamstring","","",""
"29518-14185","QB","Cam","Cam Newton","Newton","24.67714364188058","7","8600","TB@CAR","CAR","TB","","","","",""
"29518-28573","WR","Michael","Michael Thomas","Thomas","16.55714307512556","7","8600","LAR@NO","NO","LAR","","","","",""
"29518-45229","RB","Kareem","Kareem Hunt","Hunt","19.424999237060547","8","8500","KC@CLE","KC","CLE","","","","",""
"29518-14190","WR","Julio","Julio Jones","Jones","15.257143293108259","7","8500","ATL@WAS","ATL","WAS","","","","",""
"29518-6504","QB","Drew","Drew Brees","Brees","21.442858014787948","7","8400","LAR@NO","NO","LAR","","","","",""
"29518-38435","QB","Jared","Jared Goff","Goff","21.274999618530273","8","8400","LAR@NO","LAR","NO","","","","",""
"29518-22038","QB","Kirk","Kirk Cousins","Cousins","21.1299991607666","8","8300","DET@MIN","MIN","DET","","","","",""
"29518-6616","QB","Matt","Matt Ryan","Ryan","24.58571515764509","7","8200","ATL@WAS","ATL","WAS","","","","",""
"29518-42104","RB","Alvin","Alvin Kamara","Kamara","23.08571515764509","7","8000","LAR@NO","NO","LAR","","","","",""
"29518-28181","RB","Le'Veon","Le'Veon Bell","Bell","19.940000406901042","15","8000","PIT@BAL","PIT","BAL","O","Contract dispute","","",""
"29518-40687","RB","James","James Conner","Conner","23.385713849748885","7","8000","PIT@BAL","PIT","BAL","","","","",""
"29518-7968","QB","Philip","Philip Rivers","Rivers","21.317143031529017","7","8000","LAC@SEA","LAC","SEA","","","","",""
"29518-54879","QB","Deshaun","Deshaun Watson","Watson","20.6299991607666","8","7900","HOU@DEN","HOU","DEN","","","","",""
"29518-32384","WR","Mike","Mike Evans","Evans","17.428571428571427","7","7900","TB@CAR","TB","CAR","","","","",""
"29518-55050","RB","Christian","Christian McCaffrey","McCaffrey","15.757143293108259","7","7900","TB@CAR","CAR","TB","","","","",""
"29518-53681","WR","Tyreek","Tyreek Hill","Hill","18.125","8","7800","KC@CLE","KC","CLE","","","","",""
"29518-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","21.91428484235491","7","7800","PIT@BAL","PIT","BAL","","","","",""
"29518-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","23.451429094587052","7","7800","CHI@BUF","CHI","BUF","","","","",""
"29518-22015","QB","Russell","Russell Wilson","Wilson","18.277143205915177","7","7700","LAC@SEA","SEA","LAC","","","","",""
"29518-33076","TE","Travis","Travis Kelce","Kelce","13.774999618530273","8","7600","KC@CLE","KC","CLE","","","","",""
"29518-29685","WR","Robert","Robert Woods","Woods","14.649999618530273","8","7600","LAR@NO","LAR","NO","","","","",""
"29518-6703","RB","Adrian","Adrian Peterson","Peterson","14.900000435965401","7","7500","ATL@WAS","WAS","ATL","","","","",""
"29518-6714","QB","Joe","Joe Flacco","Flacco","16.857500076293945","8","7500","PIT@BAL","BAL","PIT","","","","",""
"29518-29501","WR","Brandin","Brandin Cooks","Cooks","13.857142857142858","7","7500","LAR@NO","LAR","NO","","","","",""
"29518-8005","QB","Alex","Alex Smith","Smith","15.162857055664062","7","7500","ATL@WAS","WAS","ATL","","","","",""
"29518-41535","QB","Baker","Baker Mayfield","Mayfield","15.656667073567709","6","7400","KC@CLE","CLE","KC","","","","",""
"29518-29253","WR","Keenan","Keenan Allen","Allen","11.385713849748884","7","7400","LAC@SEA","LAC","SEA","","","","",""
"29518-14211","RB","Mark","Mark Ingram","Ingram","12.066666920979818","3","7400","LAR@NO","NO","LAR","","","","",""
"29518-25079","WR","Stefon","Stefon Diggs","Diggs","14.662500381469727","8","7300","DET@MIN","MIN","DET","D","Ribs","","",""
"29518-6654","QB","Matthew","Matthew Stafford","Stafford","18.11142839704241","7","7300","DET@MIN","DET","MIN","","","","",""
"29518-79974","RB","Tarik","Tarik Cohen","Cohen","14.17142813546317","7","7200","CHI@BUF","CHI","BUF","","","","",""
"29518-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","13.771428789411273","7","7200","PIT@BAL","PIT","BAL","","","","",""
"29518-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","15.602499961853027","8","7100","HOU@DEN","DEN","HOU","","","","",""
"29518-24849","QB","Jameis","Jameis Winston","Winston","19.03499984741211","4","7100","TB@CAR","TB","CAR","","","","",""
"29518-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","25","5","7100","TB@CAR","TB","CAR","","","","",""
"29518-30989","RB","Kenyan","Kenyan Drake","Drake","11.899999618530273","8","6900","NYJ@MIA","MIA","NYJ","","","","",""
"29518-79970","WR","Cooper","Cooper Kupp","Kupp","15.216667175292969","6","6800","LAR@NO","LAR","NO","","","","",""
"29518-22994","QB","Case","Case Keenum","Keenum","15.237500190734863","8","6800","HOU@DEN","DEN","HOU","","","","",""
"29518-24641","WR","Sammy","Sammy Watkins","Watkins","10.662500381469727","8","6700","KC@CLE","KC","CLE","","","","",""
"29518-63589","QB","Sam","Sam Darnold","Darnold","14.037500381469727","8","6700","NYJ@MIA","NYJ","MIA","","","","",""
"29518-27050","WR","Tyler","Tyler Lockett","Lockett","13","7","6700","LAC@SEA","SEA","LAC","","","","",""
"29518-41426","RB","Phillip","Phillip Lindsay","Lindsay","12.462499618530273","8","6700","HOU@DEN","DEN","HOU","","","","",""
"29518-21994","QB","Brock","Brock Osweiler","Osweiler","15.125","4","6700","NYJ@MIA","MIA","NYJ","","","","",""
"29518-34331","RB","Latavius","Latavius Murray","Murray","10.587499618530273","8","6700","DET@MIN","MIN","DET","","","","",""
"29518-27776","RB","Tevin","Tevin Coleman","Coleman","10.885713849748884","7","6600","ATL@WAS","ATL","WAS","","","","",""
"29518-53562","RB","Nick","Nick Chubb","Chubb","6.474999904632568","8","6600","KC@CLE","CLE","KC","","","","",""
"29518-21948","QB","Ryan","Ryan Tannehill","Tannehill","13.796000671386718","5","6600","NYJ@MIA","MIA","NYJ","O","Shoulder","","",""
"29518-6739","WR","DeSean","DeSean Jackson","Jackson","14.900000435965401","7","6600","TB@CAR","TB","CAR","","","","",""
"29518-31394","WR","Jarvis","Jarvis Landry","Landry","11.412500381469727","8","6600","KC@CLE","CLE","KC","","","","",""
"29518-64555","WR","Calvin","Calvin Ridley","Ridley","12.857142857142858","7","6500","ATL@WAS","ATL","WAS","","","","",""
"29518-24920","RB","Devonta","Devonta Freeman","Freeman","5.800000190734863","2","6500","ATL@WAS","ATL","WAS","IR","Groin","","",""
"29518-22037","RB","Lamar","Lamar Miller","Miller","11.385713849748884","7","6500","HOU@DEN","HOU","DEN","","","","",""
"29518-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","11.67142813546317","7","6500","DET@MIN","DET","MIN","","","","",""
"29518-64119","RB","Chris","Chris Carson","Carson","11.283332824707031","6","6500","LAC@SEA","SEA","LAC","Q","Hip","","",""
"29518-63806","RB","Kerryon","Kerryon Johnson","Johnson","11.271428789411273","7","6400","DET@MIN","DET","MIN","","","","",""
"29518-54606","WR","John","John Brown","Brown","12.3125","8","6400","PIT@BAL","BAL","PIT","","","","",""
"29518-28080","WR","Devin","Devin Funchess","Funchess","10.585714067731585","7","6400","TB@CAR","CAR","TB","","","","",""
"29518-80001","RB","Austin","Austin Ekeler","Ekeler","11.32857186453683","7","6300","LAC@SEA","LAC","SEA","","","","",""
"29518-9392","WR","Michael","Michael Crabtree","Crabtree","9.375","8","6300","PIT@BAL","BAL","PIT","","","","",""
